OBJECTID,PlotID,SiteName,PreviouslyEvaluated,EstablishmentDate,Project,PriorityOrder,SamplingApproach,BaseOver,DesignStratum,MultidensityCategory,FieldOffice,DistrictOffice,AdminState,StateCode,SpeciesState,County,WetlandIndicatorRegion,LRR,ElevationFt,CowardinAttribute,Allotment,DesignLatitudeWGS84,DesignLongitudeWGS84,OfficeEvaluator,EvalStatus,OfficeEvalDate,NotSampledReason,RejectEvidence1,RejectEvidence2,OfficeEvalComments,AccessNotes,DistancefromRoad,PlotLayoutComments,AdditionalGuidanceNeeded,SampleTiming,Monumenting,BLMComments,BLMContact,Hitch,Hitch Notes,CollectWQ,CollectAnnualUse,CollectHummocks,Supplementals,GlobalID,CandidateReference,created_user,created_date,last_edited_user,last_edited_date,x,y
14,CO-LSFO-RW-23528,,No,,CO_NorthwestDO_2024,13,Random,Over,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,5745.031,PEM1F,,40.5972253024682,-108.349199395215,Madeline Catterson,Sampled - Data reviewed,6/25/2024 6:00:00 AM,,,,,,,,,,Tablet GPS and photos,,Paula Belcher,3,,Yes,No,No,plant vouchers; soil vouchers,d7c1c53b-c860-4f87-be9f-34bf9f17faea,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:20 AM,alexa.armstrong7,7/21/2024 11:47:11 PM,-108.349199395,40.5972253030001
15,CO-LSFO-RW-23529,,No,,CO_NorthwestDO_2024,14,Random,Over,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,6062.21736503913,Rp1SS,,40.8268206583291,-108.665632704612,Madeline Catterson,Sampled - Data reviewed,6/25/2024 6:00:00 AM,,,,,,,,,,Tablet GPS and photos,,Paula Belcher,3,,Yes,No,No,plant vouchers; soil vouchers,6cefec72-859e-4662-a4e0-c4f1bf404021,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:21 AM,alexa.armstrong7,7/21/2024 11:57:52 PM,-108.665632705,40.826820658
16,CO-LSFO-RW-23530,,No,,CO_NorthwestDO_2024,15,Random,Over,CO_NorthwestDO_2023_Equal,None,LITTLE SNAKE FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat,Arid West,D,6000.72915551811,Rp1SS,,40.7212012958872,-108.386182678148,Madeline Catterson,Rejected - Project manager approved,6/25/2024 6:00:00 AM,Non-target - Uplands,The site is dominated by upland vegetation. The dominate species are greasewood and sagebrush.,"Although water was present in some areas of the Sand Wash, the vegetation was not hydrophitic nor robust enough to qualify as non-wetland riparian.",Most likely not target population.,,,,,,Tablet GPS and photos,,Paula Belcher,3,,Yes,No,No,plant vouchers; soil vouchers,be26bb61-3cf6-4d25-bc70-e9d9adc820cc,,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:23 AM,alexa.armstrong7,7/11/2024 4:43:42 PM,-108.386182679,40.7212012960001
17,CO-GNFO-TW-24001,West Pass Creek,No,,CO_SouthwestDO_2024,1,Targeted,Base,,,GUNNISON FIELD OFFICE,SOUTHWEST DISTRICT OFFICE,CO,CO,CO,Saguache County,"Western Mountains, Valleys, and Coast",E,8958.98277172852,PEM1A,,38.2597618944127,-106.71189889991,Tristan Atkinson,Sampled - Data reviewed,4/23/2024 4:00:00 PM,,,,"Located within USA Wetlands Layer, and bright green on NAIP NDVI Layer. Plot appears to fit target population.","From Saguache, continue west on SH114 approx 41 miles until a turn southwest (left) on CR NN14. Continue south 1.75 miles. Park on County Road NN 14 (old agency road) on the small strip of BLM and then walk approx. 2 miles across the BLM lands to the site.",2 mile hike to the east through BLM land from Road NN14 to plot. Private land is not a straight edge on the hike in/watch boundary during hike to ensure crew stays on BLM land,"Likely enough room for a spoke layout (60m diameter). Possible shift required to avoid upland vegetation, or in order to maximize sampling of wetland vegetation. Private land is located ~65 m north and 200 m east of point.",,Sample between early July and late August,Tablet GPS and photos,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: This site is being scrutinized for potential livestock impacts to land health. We are looking at potential management changes to improve conditions and would like to establish a baseline in current condition and reevaluate as changes are made.; Access Instructions: Park on County Road NN 14 (old agency road) on the small strip of BLM and then walk across the BLM lands to the site. ,Rachel Miller: rmiller@blm.gov,5,,Yes,No,No,plant vouchers (only unknown species); soil vouchers,962a98e3-96cc-4632-b301-fb6deef2c7a8,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:25 AM,alexa.armstrong7,8/20/2024 12:09:06 AM,-106.7118989,38.2597618940001
18,CO-GNFO-TW-24002,Willow Creek Meadow,No,,CO_SouthwestDO_2024,1,Targeted,Base,,,GUNNISON FIELD OFFICE,SOUTHWEST DISTRICT OFFICE,CO,CO,CO,Gunnison County,"Western Mountains, Valleys, and Coast",E,8247.29093676758,,,38.3796264009094,-107.035727918241,Tristan Atkinson,Sampled - Data reviewed,4/23/2024 6:00:00 PM,,,,Plot within target popuation. Woodys appear present on plot.  NDVI Layer suggests vegetation is prevelant.,"From Gunnison, continue west on US-50 for 9.5 miles. Turn left (south) onto CO-149. Travel for 9 miles until turning east (left) onto road BLM31A (1Tt). After 2.5 miles turn south (right) onto CO-31. Site is now 2 miles down the road on the right hand (west) side. Access the site via CR31 and park just past the sample point where the closed road barrier is. Warning: the county road gets extremely slick when wet so avoid sampling this site when it's raining. There are many dispersed campsites along this road for camping options.","50m to the southwest from CR31. CR31 in this area is in BLM land, parking on side of road is acceptable.",Plot should accomdate a spoke layout (60m diameter).,,Mid-summer,Tablet GPS and photos,Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Goals are to monitor this site in the future to assess the impact of potential management changes. The first visit will establish baseline conditions.; Access Instructions: Access the site on the county road and park just past the sample point where the closed road barrier is. Warning: the county road gets extremely slick when wet so avoid sampling this site when it's raining. There are many dispersed campsites along this road for camping options.,Rachel Miller: rmiller@blm.gov,6,,Yes,No,No,plant vouchers (only unknown species); soil vouchers,d79f5141-b086-4da6-a7fa-bbe659930b9b,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:26 AM,alexa.armstrong7,9/1/2024 10:36:29 PM,-107.035727918,38.3796264010001
19,CO-KRFO-TW-24003,Upper Behler Creek,No,,CO_NorthwestDO_2024,1,Targeted,Base,,,KREMMLING FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Grand County,"Western Mountains, Valleys, and Coast",E,9213.52140600586,,,40.051553714362,-105.835861713942,Madeline Catterson,Sampled - Data reviewed,4/29/2024 6:00:00 AM,,,,Heavily wooded site with lots of beaver dams. Mapped as Palustrine Shrub/Scrub Broad-Leaved Deciduous Seasonally Flooded,"From Tabernash along hwy 40, turn right (east) on Devil's Thumb Road. Follow for ~ 800 yards then turn left (north) at the fork. Follow northeast for ~0.75 miles then turn left (west) on BLM Rte 2751. Follow for ~ 7 miles to site. Road gets narrow, but should be able to access all the way there.",0.1 miles east of BLM 2751,,,Accessible June-October.  Watch hunting seasons.,Tablet GPS and photos,"Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: Area may be a good reference site, no grazing since the late 1970s.  Recreation and logging are in the drainage area, but wetland relatively undisturbed.  Beavers have decreased in the last 10 years, hopefully will recolonize. ; Access Instructions: Take BLM's Strawberry Road to site.  Fairly straight forward.  If a problem, KFO's recreation staff-  Andy Borak or John Monkouski can assist.  Narrow road...first segment to fishing access parking lot can have heavy traffic-- slow down and pay attention. ",Stephen Hampton: shampton@blm.gov,6,,Yes,No,No,plant vouchers (only unknown species); soil vouchers,f9a14ebd-f1ff-4800-a3d0-57a8911c6753,Yes,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:28 AM,alexa.armstrong7,9/2/2024 2:47:37 PM,-105.835861714,40.0515537140001
20,CO-KRFO-TW-24004,N Wheeler Creek BDA,No,,CO_NorthwestDO_2024,1,Targeted,Base,,,KREMMLING FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Jackson County,"Western Mountains, Valleys, and Coast",E,9017.11078125,PSS1Eb,,40.9639738949902,-106.468750388677,Madeline Catterson,Sampled - Data reviewed,5/7/2024 6:00:00 AM,,,,"BDA install 7/1, need to sample before. Heavy deadfall surrounding point. Historic beaver ponds. Mapped as Palustrine Shrub/Scrub Broad-Leaved Deciduous Seasonally Flooded/Saturated Beaver.","From Cowdrey, travel west on Jackson County Road 6 W approximately 5.3 miles to BLM Road 2504, Independence Mountain Road (aka CR 35). Drive north 10.5 miles to a two-track road that goes to the west. On aerial photos, it is a camping spot on the left of the road. The route provides foot access to the north part of the project (0.5 miles).",0.34 miles west of CR 34,,,"June-October, avoid hunting seasons.  ",Tablet GPS and photos,"Crew can move the point as needed; Plot should represent site potential; Monitoring Goals: The historic beaver meadow is being restored with BDAs and PALs in July, 2024.  Goal is to raise the water table across the meadow area, supporting wetland vegetation. ; Access Instructions: From Cowdrey, travel west on Jackson County Road 6 W approximately 5.3 miles to BLM Road 2504, Independence Mountain Road (aka CR 35).  Drive north 10.5 miles to a two-track road that goes to the west. On aerial photos, it is a camping spot on the left of the road.  The route provides foot access to the north part of the project (0.5 miles).  MAP IS AVAILABLE",Stephen Hampton: shampton@blm.gov,2,,Yes,No,No,plant vouchers (only unknown species); soil vouchers,6e31f1e0-512b-4cbf-a31b-8996fa0c6f94,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:29 AM,alexa.armstrong7,6/29/2024 9:04:26 PM,-106.468750389,40.963973895
21,CO-KRFO-TW-24005,N Sand Creek Trib,No,,CO_NorthwestDO_2024,1,Targeted,Base,,,KREMMLING FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Jackson County,"Western Mountains, Valleys, and Coast",E,8567.27815161133,,,40.8640327718045,-106.188697592673,Madeline Catterson,Sampled - Data reviewed,5/6/2024 6:00:00 AM,,,,"Most likely not target population, but assisting with monitoring of the area. Can not drive across dune area, will need to park and walk in. Stay downstream of the fence","Fastest from Fort Collins: From WyoColo, head south on HWY 127 for 7 miles. Turn left (south) on CR 6E. Follow for ~4 miles then turn left (east) on North Sand Hills access road. Follow for ~3 more miles to parking location (40.86279, -106.203655). Alternate: From Cowdrey, drive north on Hwy 125 until the junction of Jackson County E until North Sand Hills informational kiosk.","2.5 miles from parking area, can get closer depending on road conditions. Parking guidance recieved 6/25/2024, decreases mileage to ~0.7 miles west/northwest of North Sand Hills access road",Skinny diagonal layout,,"May-October, seasonal wildlife closure to April",Tablet GPS and photos,"Crew can move the point as needed; Plot should represent site potential; Monitoring Goals: BLM and partners are going to attempt revegetation of the side slopes adjacent/above the intermittent sand channel.  This point really doesn't support wetland vegetation, but CNHP is helping monitor the site.; Access Instructions: Drive JCR 6E east to the North Sand Hills informational kiosk.  Park in the campground just adjacent.  Only accessible by UTV across the dunes to the ""volleyball pit"" aka ""the beach"".  Walk up the tributary to the point.
Coordinate with the KFO office if assistance is needed and Ed Rumbold, CSO.  ",Stephen Hampton: shampton@blm.gov,3,,Yes,No,No,plant vouchers (only unknown species); soil vouchers,130aab34-3aa3-4fb8-a1db-37a65e359961,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:31 AM,alexa.armstrong7,7/21/2024 12:15:21 AM,-106.188697593,40.864032772
22,CO-WRFO-TW-24006,Turner Creek trib.,No,,CO_NorthwestDO_2024,1,Targeted,Base,,,WHITE RIVER FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat County,"Western Mountains, Valleys, and Coast",E,8153.8913762207,,,40.320383,-108.8935711,Madeline Catterson,Sampled - Data reviewed,5/7/2024 6:00:00 AM,,,,"Paulustrine- emergent, vegetated drainage way. ~0.5 miles west of Turner Reservoir. Seasonal channel should be present.","From Harper’s Corner Road/Canyon Visitor Center off of US-40, travel north on 5.9 mi. Turn right on unnamed dirt road and continue for 3.3 mi. At the fork in the road, keep to the left and drive 1 mi to Turner Reservoir. Hike ~0.5 miles to the west to reach plot.",~0.5 miles W depending on unnamed road conditions,"Avg <25 meters across, Diagonal layout depending on final plot center",,Avoid archery and big game seasons.,Tablet GPS and photos,"Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: High priority system within GRSG priority habitat.  Data will support potential Causal Factor analysis.  May implement a virtual fence to manage livestock in area. Point can be anywhere within the mesic swale area.  ; Access Instructions: Hwy 40 to Harpers Corner Road, ~ 6miles to BLM Rd on the right at 40.304, -108.944.  Follow road past kiosk ~ 2.5 miles thru locked gate (combo 1776), stay left at Y, up steep rocky hill, continue following two-track north, veer left at Turner Crk Reservoir to the plot. ",Lisa Belmonte: lbelmont@blm.gov,1,,Yes,No,No,plant vouchers (only unknown species); soil vouchers,c12b083a-f401-479b-80aa-eb990483dc95,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:32 AM,alexa.armstrong7,6/15/2024 11:21:00 PM,-108.8935711,40.320383
23,CO-WRFO-TW-24007,East Blue Mtn Spg trib to K Creek,No,,CO_NorthwestDO_2024,1,Targeted,Base,,,WHITE RIVER FIELD OFFICE,NORTHWEST DISTRICT OFFICE,CO,CO,CO,Moffat County,"Western Mountains, Valleys, and Coast",E,7194.22050390625,,,40.352899,-108.9898559,Madeline Catterson,Sampled - Data reviewed,5/5/2024 6:00:00 AM,,,,"Within target population, Palustrine emergent system (with some woody specimens). Can't see fence location from imagery.","Hwy 40 to Harpers Corner Road for ~ 9.8 miles to CR 16 (west), park on BLM road (~40.3603221, -108.9951317) and walk south to site along 2-track, can cut east anytime after reaching 100 meters from road (access not granted via private road). Elevation change of about ~500 ft. Followed fence from road and crossed at about 40.3555815, -108.9948611",0.70 miles SE from CR 16,Determined by fence location,,Preferably before big game season,Tablet GPS and photos,"Crew can move the point as needed; Plot can be established in the existing wetland or riparian area; Monitoring Goals: High priority system within GRSG priority habitat.  Resource/mgmt concerns.  Data to support potential Causal Factor analysis.  Point should be in saturated area, below fence. ; Access Instructions: Hwy 40 to Harpers Corner Road for ~ 9.8 miles to CR 16 (west), park on BLM, walk 0.7 mile to plot.  Shortest access is thru private, but it is easy across BLM.  
",Lisa Belmonte: lbelmont@blm.gov,1,,Yes,No,No,plant vouchers (only unknown species); soil vouchers,beebe614-f85c-4cbe-930f-e64612fabbdf,No,jascott@blm.gov_BLM_EGIS,4/6/2024 3:24:34 AM,alexa.armstrong7,6/16/2024 12:01:37 AM,-108.9898559,40.352899
