OBJECTID,OrderCode,PointID,StreamName,StratumName,PointType,DesignLat,DesignLong,OfficeEvaluator,OfficeEvalDate,PreviouslyEvaluated,MergedPointID,MergedMonProgram,EvalStatus,ReasonNotSampled,NotSampledEvidence1,NotSampledEvidence2,BLMAdviceRequested,OfficeEvalComments,ContactInfoForAccess,NOCComments,Trip,TripNotes,CollectTNTP,CollectTurbidity,CollectThalwegDepthProfile,CollectBankAngle,CollectExtraBankPlots,CollectPoolTailFines,CollectNativeWoody,CollectGreenlineVegComp,CollectVegComplexity,CollectCoreSubset1,CollectCoreSubset2,CollectCoreSubset3,Supplementals,AdminState,District,FieldOffice,Project,BoatingFilter,Extra1,Extra2,created_user,created_date,last_edited_user,last_edited_date,GlobalID,SpeciesState,OriginalDesign,x,y
1026,11,CBN-LS-1043,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.188586,-149.635592,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:39 PM,kpoole7,4/4/2024 11:11:42 PM,ce291bd7-90ac-44e3-9894-3e05575892c8,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.635592,68.188586
1027,12,CBN-LS-1044,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.600351,-149.577384,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:41 PM,kpoole7,4/4/2024 11:11:42 PM,6b46b5df-8134-4a7b-bdfa-9b892e4daefc,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.577384,68.600351
1028,13,CBN-LS-1045,Toolik River,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.657893,-149.323404,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:43 PM,kpoole7,4/4/2024 11:11:42 PM,21706412-b346-4fbb-b60b-6001813f3c3f,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.323404,68.6578930000001
1029,14,CBN-LS-1047,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.259972,-149.47019,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:45 PM,kpoole7,4/4/2024 11:11:42 PM,1d59599f-9c7b-46df-927f-e1d664bb6418,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.47019,68.2599720000001
1030,15,CBN-LS-1052,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.683532,-148.871184,,,No,,,Oversample,,,,No advice requested,"Consider field visit, looks like 180 m between the lakes",,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:47 PM,kpoole7,4/4/2024 11:11:42 PM,a8deaa9c-b992-40b2-881a-26b8287349ba,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-148.871184,68.6835320000001
1031,16,CBN-LS-1053,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.573521,-149.425577,,,No,,,Oversample,,,,No advice requested,"Consider field visit, looks like the point might fall slightly north of the stream channel, but likely just an NHD misalignment issue, not a map error.",,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:49 PM,kpoole7,4/4/2024 11:11:42 PM,f0a50078-79bc-4d7f-9004-11f722017823,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.425577,68.573521
1032,17,CBN-LS-1054,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.649719,-149.576605,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:51 PM,kpoole7,4/4/2024 11:11:42 PM,f7439aae-ec02-4b52-b376-cb60f7538509,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.576605,68.6497190000001
1033,18,CBN-LS-1056,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.503072,-149.519987,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:53 PM,kpoole7,4/4/2024 11:11:42 PM,2c2b2a4e-a8bd-462b-9454-406ad095c8b6,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.519987,68.503072
1034,19,CBN-LS-1061,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.657736,-149.213981,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:54 PM,kpoole7,4/4/2024 11:11:42 PM,57d5afee-dd50-46bc-96c7-cd172f024a1a,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.213981,68.6577360000001
1035,20,CBN-LS-1062,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.281184,-149.311313,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:56 PM,kpoole7,4/4/2024 11:11:42 PM,1a42b1b8-c0c6-450e-8d2d-b2952af262a9,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.311313,68.2811840000001
1036,21,CBN-LS-1065,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.691604,-149.489078,,,No,,,Oversample,,,,No advice requested,"Consider field visit, looks like the point falls on a stream...",,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:48:58 PM,kpoole7,4/4/2024 11:11:42 PM,446bcdbb-bc24-4363-85a6-34261b7b2729,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.489078,68.691604
1037,22,CBN-LS-1068,Toolik River,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.685612,-149.337601,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:00 PM,kpoole7,4/4/2024 11:11:42 PM,79d489cd-9c50-4636-91a2-3d0eaf79d48a,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.337601,68.685612
1038,23,CBN-LS-1069,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.613393,-149.317962,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:01 PM,kpoole7,4/4/2024 11:11:42 PM,0b349791-dde5-414e-bb7e-7dede8739242,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.317962,68.613393
1039,24,CBN-LS-1070,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.137572,-149.58015,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:03 PM,kpoole7,4/4/2024 11:11:42 PM,b7415336-53c7-4bbd-9a21-e6710896b782,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.58015,68.137572
1040,25,CBN-LS-1072,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.593954,-149.333395,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:05 PM,kpoole7,4/4/2024 11:11:42 PM,244ad6fe-a55e-429d-a496-c72d6138afb6,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.333395,68.5939540000001
1041,26,CBN-LS-1073,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.480061,-149.461706,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:07 PM,kpoole7,4/4/2024 11:11:42 PM,1c704cf2-b065-4265-9629-cd76c59a7e4a,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.461706,68.480061
1042,27,CBN-LS-1074,,BROOKS NORTH-Large Streams (2&3),OvrSmp,68.363329,-149.219474,,,No,,,Oversample,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:09 PM,kpoole7,4/4/2024 11:11:42 PM,ab598611-ae2e-41d8-8b46-7ea538f7df08,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.219474,68.3633290000001
1043,1,CBN-RV-1004,Sagavanirktok River,BROOKS NORTH-Rivers (4+),Base,68.657622,-148.992601,Erica Lamb,6/18/2020 12:00:00 AM,Yes,,,Not sampled- BLM approved,Nontarget - Boatable (not sampling boatable reaches for this design),helicopter visit,,No advice requested,Non-Target - Not Wadeable,,,,,No,Yes,No,,No,No,No,No,Yes,,,,,AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:10 PM,kpoole7,4/4/2024 11:11:42 PM,83305c21-969e-4eb6-810f-9f49e63ecae5,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-148.992601,68.6576220000001
1044,2,CBN-RV-1005,Kuparuk River,BROOKS NORTH-Rivers (4+),Base,68.560944,-149.333661,Erica Lamb,4/30/2020 8:00:00 AM,Yes,,,Sampled- Data summary reviewed,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:12 PM,kpoole7,4/4/2024 11:11:42 PM,710238ef-0294-4470-9fef-baf4a7002868,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.333661,68.5609440000001
1045,3,CBN-RV-1009,Kuparuk River,BROOKS NORTH-Rivers (4+),Base,68.573935,-149.348997,Erica Lamb,4/30/2020 8:00:00 AM,Yes,,,Sampled- Data summary reviewed,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:14 PM,kpoole7,4/4/2024 11:11:42 PM,7b067933-9794-4798-af69-e761b09b231e,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.348997,68.5739350000001
1046,4,CBN-RV-1010,Kuparuk River,BROOKS NORTH-Rivers (4+),Base,68.66967,-149.445257,Erica Lamb,,Yes,,,Sampled- Data summary reviewed,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:16 PM,kpoole7,4/4/2024 11:11:42 PM,5bea08da-c43d-48fb-a839-4be87a19699e,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.445257,68.6696700000001
1047,5,CBN-RV-1013,Sagavanirktok River,BROOKS NORTH-Rivers (4+),Base,68.593441,-149.054155,Erica Lamb,4/30/2020 8:00:00 AM,Yes,,,Not sampled- BLM approved,Nontarget- Boatable (not sampling boatable reaches for this design),,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,,AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:18 PM,kpoole7,4/4/2024 11:11:42 PM,fa173fd6-aa3f-4030-9f06-9878b3c13604,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.054155,68.593441
1048,6,CBN-RV-1030,Atigun River,BROOKS NORTH-Rivers (4+),OvrSmp,68.38874,-149.345936,Erica Lamb,7/23/2019 12:00:00 AM,Yes,,,Not sampled- BLM approved,Nontarget - Boatable (not sampling boatable reaches for this design),,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,,AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:20 PM,kpoole7,4/4/2024 11:11:42 PM,51aba479-6265-423c-a65b-9c813864507c,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.345936,68.38874
1049,7,CBN-RV-1035,Atigun River,BROOKS NORTH-Rivers (4+),OvrSmp,68.328632,-149.358681,,,Yes,,,Not sampled- BLM approved,Nontarget- Boatable (not sampling boatable reaches for this design),,,No advice requested,"Consider visiting in field. This doesn't look like a map error, looks like it might not be wadeable though? Can't tell from imagery, need two lines of evidence in office to write off.",,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:22 PM,kpoole7,4/4/2024 11:11:42 PM,08c15baa-34a6-46d5-a459-58580ee7ff5b,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.358681,68.3286320000001
1050,8,CBN-RV-1046,Atigun River,BROOKS NORTH-Rivers (4+),OvrSmp,68.401112,-149.368596,Erica Lamb,7/23/2019 12:00:00 AM,Yes,,,Not sampled- BLM approved,Nontarget - Boatable (not sampling boatable reaches for this design),,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,,AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:24 PM,kpoole7,4/4/2024 11:11:42 PM,30e2a234-127a-47b7-a689-099d6f12aea5,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.368596,68.4011120000001
1051,9,CBN-RV-1057,Sagavanirktok River,BROOKS NORTH-Rivers (4+),OvrSmp,68.547878,-149.038588,Erica Lamb,7/16/2018 12:00:00 AM,Yes,,,Not sampled- BLM approved,Nontarget- Reach too short,,,No advice requested,Non-Target - Not Wadeable,,,,,No,Yes,No,,No,No,No,No,Yes,,,,,AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:25 PM,kpoole7,4/4/2024 11:11:42 PM,188eb724-7f3b-41ec-96c1-01603cf80ce2,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.038588,68.5478780000001
1052,10,CBN-RV-1067,Accomplishment Creek,BROOKS NORTH-Rivers (4+),OvrSmp,68.669994,-148.813777,Erica Lamb,8/13/2018 12:00:00 AM,Yes,,,Not sampled- BLM approved,Nontarget- Reach too short,Not wadeable,,No advice requested,Non-Target - Not Wadeable,,,,,No,Yes,No,,No,No,No,No,Yes,,,,,AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:27 PM,kpoole7,4/4/2024 11:11:42 PM,1eed38bd-fd86-4291-9666-4cd7d722993c,AK,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-148.813777,68.669994
1053,1,CBN-SS-1000,,BROOKS NORTH-Small Streams (1),Base,68.680761,-148.727272,Erica Lamb,4/30/2020 8:00:00 AM,Yes,,,Sampled- Data summary reviewed,,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:29 PM,kpoole7,4/4/2024 11:11:42 PM,eaf2c898-8028-4878-ae4d-4e5e8b40fd26,ID,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-148.727272,68.6807610000001
1054,2,CBN-SS-1001,,BROOKS NORTH-Small Streams (1),Base,68.60499,-149.436746,Erica Lamb,5/1/2020 8:00:00 AM,Yes,,,Not sampled- BLM approved,Nontarget- Lentic,,,No advice requested,,,,,,No,Yes,No,,No,No,No,No,Yes,,,,"surveyed cross section, pool to pool spacing, valley and channel typing",AK,FAIRBANKS DISTRICT OFFICE,CENTRAL YUKON FIELD OFFICE,AK_CentralYukonFO,No,,,kpoole7,2/7/2024 5:49:31 PM,kpoole7,4/4/2024 11:11:42 PM,27d6c028-5197-422d-8214-bb6d34474f7b,ID,AK_CentralYukonFO_UtilityCorridor_BrooksNorth_2019,-149.436746,68.60499
