OBJECTID,PlotID,Project,FieldEvalDate,VisitType,StaticEvaluationID,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
39,CA-CDD-TW-24004,CA_DesertDO_2024,4/20/2024 5:28:13 PM,Full Sample Visit,CA-CDD-TW-24004_2024-04-20,aebbbd5e-227b-4a2b-a74e-2d007379bc15,mheine7,4/20/2024 5:28:20 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:03:58 PM,-114.76018758767,32.8384355716545
40,CA-CDD-TW-24069,CA_DesertDO_2024,4/21/2024 11:01:42 PM,Permanent Rejection,CA-CDD-TW-24069_2024-04-21,db62ef2b-050b-4ace-9c6c-8be3f1cce6da,mheine7,4/21/2024 11:01:44 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:00 PM,-115.165572222278,34.5434499999587
41,CA-CDD-TW-24073,CA_DesertDO_2024,4/22/2024 6:58:38 PM,Full Sample Visit,CA-CDD-TW-24073_2024-04-22,ee329bc8-70cf-4697-9919-699c9866cb21,mheine7,4/22/2024 6:58:44 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:01 PM,-114.724635333776,34.937328546277
42,CA-CDD-TW-24004,CA_DesertDO_2024,4/20/2024 5:26:54 PM,Full Sample Visit,CA-CDD-TW-24004_2024-04-20,805ee16b-966e-472c-ab27-a7d17cd767a0,king.b5563,4/20/2024 5:27:14 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:03 PM,-114.76018758767,32.8384355716545
43,CA-CDD-TW-24003,CA_DesertDO_2024,4/19/2024 5:13:16 PM,Full Sample Visit,CA-CDD-TW-24003_2024-04-19,6d5b41fe-c791-4797-b741-c39ea4f82434,king.b5563,4/19/2024 5:13:22 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:05 PM,-115.186068719197,32.7104366240623
44,CA-CDD-TW-24074,CA_DesertDO_2024,4/23/2024 5:43:49 PM,Full Sample Visit,CA-CDD-TW-24074_2024-04-23,6ec190bb-83a9-46c0-a574-286c1fa33705,king.b5563,4/23/2024 5:44:03 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:07 PM,-115.864961111369,35.4422110002911
45,CA-CDD-TW-24060,CA_DesertDO_2024,4/21/2024 6:35:22 PM,Full Sample Visit,CA-CDD-TW-24060_2024-04-21,932ea51e-ba72-4a15-8c97-7fb762d4f1b5,jhernandez601,4/21/2024 6:35:51 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:08 PM,-117.214350000319,36.1203300002304
46,CA-CDD-TW-22002,CA_DesertDO_2024,4/23/2024 3:55:21 PM,Full Sample Visit,CA-CDD-TW-22002_2024-04-23,ab4407cc-de68-49ed-9fe3-3407b0df48ce,jhernandez601,4/23/2024 3:55:29 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:10 PM,-116.233393599765,35.8848859502337
48,CA-CDD-TW-24090,CA_DesertDO_2024,12/30/1899 12:00:00 AM,Calibration Visit,CA-CDD-TW-24090_1899-12-30,82ecdc1d-e965-499f-94fa-5359d53f38b9,aperetz@blm.gov_BLM_EGIS,4/30/2024 10:36:19 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:12 PM,-115.715659917287,33.402769434583
49,CA-CCAD-TW-24087,CA_CentralDO_2024,5/2/2024 10:25:00 PM,Full Sample Visit,CA-CCAD-TW-24087_2024-05-02,a484ad67-a572-4a50-99e8-839dd8d7cad0,jhernandez601,5/1/2024 10:26:22 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:13 PM,-121.452433751313,38.2773338880174
50,CA-CCAD-TW-24087,CA_CentralDO_2024,5/2/2024 10:25:00 PM,Full Sample Visit,CA-CCAD-TW-24087_2024-05-02,95a321da-3e49-4e37-a2e3-b1eaaa920255,ahoeft4,5/1/2024 10:25:59 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:15 PM,-121.452422247488,38.2773641790346
52,CA-CCAD-TW-24086,CA_CentralDO_2024,5/3/2024 11:23:00 PM,Full Sample Visit,CA-CCAD-TW-24086_2024-05-03,96fd8550-0885-4a1e-8af4-546adb7422fc,ahoeft4,5/2/2024 11:23:54 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:17 PM,-121.371170864324,38.2968606242612
54,CA-CCAD-TW-24087,CA_CentralDO_2024,5/2/2024 10:26:00 PM,Full Sample Visit,CA-CCAD-TW-24087_2024-05-02,a7453ceb-07a7-4919-9982-39a9d4d83762,lmartin4,5/1/2024 10:27:05 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:18 PM,-121.452433751313,38.2773338880174
55,CA-CCAD-TW-24086,CA_CentralDO_2024,5/3/2024 3:40:54 PM,Full Sample Visit,CA-CCAD-TW-24086_2024-05-03,ab3a9308-3de3-447d-b05d-6f3f7d9550af,lmartin4,5/3/2024 3:41:16 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:19 PM,-121.371170864324,38.2968606242612
56,CA-CCAD-TW-24086,CA_CentralDO_2024,5/3/2024 11:24:00 PM,Full Sample Visit,CA-CCAD-TW-24086_2024-05-03,03890495-5220-4ef1-9f1f-95c996a97021,jhernandez601,5/2/2024 11:24:52 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:21 PM,-121.371170864324,38.2968606242612
57,AZ-TUCFO-TW-24017,AZ_TucsonFO_2024,5/3/2024 5:56:41 PM,Calibration Visit,AZ-TUCFO-TW-24017_2024-05-03,78e32d2b-7fd4-47a2-8ce4-5bed19b79f36,aperetz@blm.gov_BLM_EGIS,5/3/2024 5:56:52 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:23 PM,-110.563165283035,31.8730633433074
58,CA-CCAD-TW-24084,CA_CentralDO_2024,5/3/2024 9:32:42 PM,Full Sample Visit,CA-CCAD-TW-24084_2024-05-03,7800e7e7-bb10-47bf-a266-f815c810dda1,lmartin4,5/3/2024 9:33:06 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:24 PM,-121.427113187233,38.2607898143952
59,CA-CCAD-TW-24084,CA_CentralDO_2024,5/3/2024 9:31:28 PM,Full Sample Visit,CA-CCAD-TW-24084_2024-05-03,c1cdf2a3-0dbf-4ed5-b124-4776dfaaf5b5,ahoeft4,5/3/2024 9:31:34 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:26 PM,-121.427113698375,38.2607862629204
60,CA-CCAD-TW-24002,CA_CentralDO_2024,5/2/2024 5:34:57 PM,Permanent Rejection,CA-CCAD-TW-24002_2024-05-02,fe06f8dd-d625-4e89-9911-91d68ec3864c,mheine7,5/2/2024 5:35:10 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:27 PM,-122.463127524688,39.0435419701239
61,CA-CCAD-TW-24001,CA_CentralDO_2024,5/3/2024 5:52:44 PM,Full Sample Visit,CA-CCAD-TW-24001_2024-05-03,0ae65114-e4a2-4bf7-94b2-d53d38ce1ef7,mheine7,5/3/2024 5:52:46 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:29 PM,-122.458825261925,39.0824888609581
62,CA-CCAD-TW-24084,CA_CentralDO_2024,5/3/2024 9:31:49 PM,Full Sample Visit,CA-CCAD-TW-24084_2024-05-03,e79c0afc-5c8b-4d26-becc-d04de6c3bae1,jhernandez601,5/3/2024 9:31:57 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:31 PM,-121.427113698375,38.2607862629204
63,CA-CCAD-TW-24088,CA_CentralDO_2024,5/4/2024 5:34:06 PM,Full Sample Visit,CA-CCAD-TW-24088_2024-05-04,854c8ff1-42ff-4bad-a01b-e303a6394a97,jhernandez601,5/4/2024 5:34:10 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:32 PM,-121.326434299645,38.3436076390268
64,CA-CCAD-TW-24088,CA_CentralDO_2024,5/4/2024 5:30:15 PM,Full Sample Visit,CA-CCAD-TW-24088_2024-05-04,3f99e909-5867-4ced-b813-cb2915c8c4a3,ahoeft4,5/4/2024 5:30:32 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:34 PM,-121.326434299645,38.3436076390268
65,CA-CCAD-TW-24088,CA_CentralDO_2024,5/4/2024 6:05:01 PM,Full Sample Visit,CA-CCAD-TW-24088_2024-05-04,38aa1852-5329-45a5-ac88-db9f6fd6aaea,lmartin4,5/4/2024 6:05:07 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:35 PM,-121.326434299645,38.3436076390268
66,NV-NCD-RW-24603,NV_CarsonCityDO_2024,5/5/2024 9:39:02 PM,Calibration Visit,NV-NCD-RW-24603_2024-05-05,ef42268b-d07c-48b1-981c-9fc6a9d2fae1,laurensnobl,5/5/2024 9:39:21 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:37 PM,-118.637242880723,39.4624101052101
67,CA-CCAD-TW-24085,CA_CentralDO_2024,5/5/2024 8:40:24 PM,Full Sample Visit,CA-CCAD-TW-24085_2024-05-05,cb189d14-64c5-4574-bc3a-0fd1be0dbbd8,lmartin4,5/5/2024 8:40:28 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:39 PM,-121.397587940786,38.2615275962108
68,NV-NCD-RW-24603,NV_CarsonCityDO_2024,5/5/2024 9:16:30 PM,Calibration Visit,NV-NCD-RW-24603_2024-05-05,359b1607-8941-4311-acb0-8e817272bf6f,laurensnobl,5/5/2024 9:16:39 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:40 PM,-118.636945444041,39.4627882315885
69,NV-NCD-RW-24603,NV_CarsonCityDO_2024,5/5/2024 9:23:43 PM,Calibration Visit,NV-NCD-RW-24603_2024-05-05,a1f842e7-8706-4cac-bae1-a2299cdd3ec9,laurensnobl,5/5/2024 9:23:45 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:42 PM,-118.637009468768,39.4622820303295
70,NV-NCD-RW-24507,NV_CarsonCityDO_2024,12/30/1899 12:00:00 AM,Calibration Visit,NV-NCD-RW-24507_1899-12-30,e39a6dc8-7bff-4813-bf14-f9d933765edb,laurensnobl,5/5/2024 9:19:02 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:44 PM,-118.637027540176,39.4623388165173
71,NV-NCD-RW-24603,NV_CarsonCityDO_2024,5/5/2024 9:23:31 PM,Calibration Visit,NV-NCD-RW-24603_2024-05-05,9a4f0f3d-59e9-4dc6-b29e-9120eec24bb2,laurensnobl,5/5/2024 9:23:38 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:45 PM,-118.637013037774,39.4622908250863
72,NV-NCD-RW-24603,NV_CarsonCityDO_2024,5/5/2024 9:17:55 PM,Calibration Visit,NV-NCD-RW-24603_2024-05-05,aa83b39c-9eb6-4bb0-b5ea-82e5cfec33ee,mhamptonpdx,5/5/2024 9:18:03 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:47 PM,-118.636997658617,39.4627569795923
73,AZ-TUCFO-TW-24006,AZ_TucsonFO_2024,5/6/2024 4:04:45 PM,Calibration Visit,AZ-TUCFO-TW-24006_2024-05-06,e9b10302-85f3-4fa2-bd5d-2020615d08e9,crperez@blm.gov_BLM_EGIS,5/6/2024 4:05:39 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:48 PM,-110.573808330282,31.859575816339
75,AZ-TUCFO-TW-24006,AZ_TucsonFO_2024,5/6/2024 4:33:55 PM,Calibration Visit,AZ-TUCFO-TW-24006_2024-05-06,c9e8240a-be99-4f81-8a57-871ceae4e6c9,ndefino@blm.gov_BLM_EGIS,5/6/2024 4:32:56 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:50 PM,-110.573828116574,31.859493716713
76,AZ-TUCFO-TW-24006,AZ_TucsonFO_2024,5/6/2024 9:02:37 PM,Full Sample Visit,AZ-TUCFO-TW-24006_2024-05-06,26d1b96d-8fce-4c4d-b4ac-89d7c952b8e5,ndefino@blm.gov_BLM_EGIS,5/6/2024 9:02:26 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:52 PM,-110.573760099734,31.8596749997373
77,CA-CCAD-TW-24085,CA_CentralDO_2024,5/5/2024 8:26:44 PM,Full Sample Visit,CA-CCAD-TW-24085_2024-05-05,495d7e76-9cc7-4742-af6e-969efe2df06a,ahoeft4,5/5/2024 8:26:48 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:53 PM,-121.397587940786,38.2615275962108
78,CA-NCAD-TW-24020,CA_NorthernDO_2024,5/2/2024 3:37:42 PM,Full Sample Visit,CA-NCAD-TW-24020_2024-05-02,0f493870-dd2c-4b44-82b7-92c32d00aca7,ahoeft4,5/2/2024 3:37:58 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:55 PM,-122.186242362168,40.2672921538826
79,CA-NCAD-TW-24019,CA_NorthernDO_2024,5/3/2024 3:03:33 PM,Full Sample Visit,CA-NCAD-TW-24019_2024-05-03,4072b636-6870-468f-ac6e-2f0f21613f47,ahoeft4,5/3/2024 3:03:39 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:57 PM,-122.190098896158,40.2773903349756
80,CA-NCAD-TW-24021,CA_NorthernDO_2024,5/3/2024 8:13:31 PM,Full Sample Visit,CA-NCAD-TW-24021_2024-05-03,5ec17810-ac2e-4fc2-afb2-178362710750,ahoeft4,5/3/2024 8:13:34 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:04:58 PM,-122.192869294206,40.3903567646864
81,CA-NCAD-TW-24081,CA_NorthernDO_2024,5/4/2024 5:18:25 PM,Full Sample Visit,CA-NCAD-TW-24081_2024-05-04,09975727-e73f-45dd-b72d-006de77703e1,ahoeft4,5/4/2024 5:18:28 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:05:00 PM,-122.4240151,40.4997229999576
82,CA-NCAD-TW-24080,CA_NorthernDO_2024,5/5/2024 4:09:24 PM,Full Sample Visit,CA-NCAD-TW-24080_2024-05-05,48e8ff06-3b9a-4be4-892d-0510643e938d,ahoeft4,5/5/2024 4:09:30 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:05:01 PM,-122.414146800278,40.4991650001614
83,CA-CCAD-TW-23063,CA_CentralDO_2024,5/4/2024 8:45:33 PM,Full Sample Visit,CA-CCAD-TW-23063_2024-05-04,da16f022-8588-4098-a99f-37b2d95eb903,mheine7,5/4/2024 8:45:37 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:05:03 PM,-122.407522999767,38.8532669996976
84,CA-CCAD-TW-23049,CA_CentralDO_2024,5/5/2024 10:57:16 PM,Full Sample Visit,CA-CCAD-TW-23049_2024-05-05,733071b4-acf8-4794-9bc4-62517258253e,mheine7,5/5/2024 10:57:19 PM,kmartin@blm.gov_BLM_EGIS,12/10/2024 8:05:04 PM,-122.493673300417,39.1302411698254
