objectid,GlobalID,SpecRichDetailEvaluationID,RecKey,Select Plant Species,Was voucher specimen collected for this species?,Collection Number,UnknownCode,UnknownCodeKey,Species Abundance,ParentGlobalID,CreationDate,Creator,EditDate,Editor
14,12060183-18b1-49c9-9444-17642ca3764b,CA-CDD-TW-22008_2024-04-08,,LELA,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:55 PM,kmartin@blm.gov_BLM_EGIS
15,24b523be-0103-4c45-a5df-46e840843378,CA-CDD-TW-22008_2024-04-08,,LEFL2,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:56 PM,kmartin@blm.gov_BLM_EGIS
16,a4853952-d5dc-4511-ba27-479f5fa2e526,CA-CDD-TW-22008_2024-04-08,,CABO7,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:58 PM,kmartin@blm.gov_BLM_EGIS
17,8710b78f-3029-4f16-a0a7-2ec08644c674,CA-CDD-TW-22008_2024-04-08,,AFXXXX,No,01,AF_01,CA-CDD-TW-22008_2024-04-08_AF_01,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:10:59 PM,kmartin@blm.gov_BLM_EGIS
18,b950f9dc-e210-4d7b-a280-d8509d60928b,CA-CDD-TW-22008_2024-04-08,,CRAN4,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:11:01 PM,kmartin@blm.gov_BLM_EGIS
19,55532337-5563-4cb5-b642-0f447f9f97df,CA-CDD-TW-22008_2024-04-08,,DEPI,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:11:02 PM,kmartin@blm.gov_BLM_EGIS
20,13ccc1a8-45c1-4993-846b-f985bfbbeb95,CA-CDD-TW-22008_2024-04-08,,BRTO,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:11:04 PM,kmartin@blm.gov_BLM_EGIS
21,cd46561f-6bb1-4395-aa76-88860fc21329,CA-CDD-TW-22008_2024-04-08,,AMAC2,No,,,,1,e0f70b66-ab9d-4da3-a76d-b77a2416d38a,4/11/2024 3:52:01 AM,ahoeft4,11/20/2024 11:11:05 PM,kmartin@blm.gov_BLM_EGIS
22,0919597c-9ce8-4b48-be90-b5a1ad50dcbf,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,DISP,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
23,b0a17499-8536-417f-8738-7e0ccea596e1,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,AMAC2,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
24,2153c696-dd43-4870-bd15-b676b740698e,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,SHXXXX,No,01,SH_01,CA-CDD-TW-22008_2024-04-08_SH_01,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
25,93584f0b-73af-4ea6-aef1-8ac300f0e2b4,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,PRPU,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
26,7df2bbcf-0f75-41b9-aeca-f3512c8b0bb9,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,ATTO,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
27,13e0cdd1-d322-4b99-8e78-dc57b44ae7a5,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,LEPE2,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
28,6a7a0cf4-ebd7-4494-83ee-3e7ae575cd63,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,BRTO,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
29,25228303-be93-40ba-b712-b2bab7eef16d,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,ATCA2,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
30,291c7710-3309-413f-9db6-8a67b762cdf9,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,GECA2,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
31,bbe8d126-ff49-4025-ad0d-04a06025c4e3,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,SCAR,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
32,eb01c079-b469-4117-a763-d642f075584e,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,LATR2,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
33,bc0b7e45-3322-43c8-8a85-375839cf9c5f,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,PLSE,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
34,3b8a6c03-6aaf-470a-8398-bd2fd57ff09c,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,PLOV,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
35,3974e77a-a97f-4087-9ea4-34529240edca,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,CRAN4,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
36,d14af644-617c-4d8b-8f92-15ebe1370dda,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,HOMU,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
37,2c310236-8108-4263-adee-72d3265e4a92,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,SIIR,No,,,,2,1a064e63-6691-4459-bb15-c6886b5cb6b2,4/11/2024 3:52:03 AM,ahoeft4,7/17/2024 4:06:27 PM,dlowder8
38,f345c299-bbad-4b7d-8934-d15bd778013c,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,DISP,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:20 PM,kmartin@blm.gov_BLM_EGIS
39,597ca593-352f-44bd-91ee-880c8050bb99,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,AMAC2,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:22 PM,kmartin@blm.gov_BLM_EGIS
40,c5621c5e-49e3-4421-86f8-79d763e984ed,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,SHXXXX,No,01,SH_01,CA-CDD-TW-22008_2024-04-08_SH_01,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:24 PM,kmartin@blm.gov_BLM_EGIS
41,4c9c5e02-dde2-4e23-b689-084c1d6169e2,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,PRPU,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:26 PM,kmartin@blm.gov_BLM_EGIS
42,ae55215a-8a9f-4c0a-85d0-ad815b42554e,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,ATTO,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:28 PM,kmartin@blm.gov_BLM_EGIS
43,158b5ddb-bbe4-4d9b-9bf1-816c239c0d7d,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,LEPE2,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:30 PM,kmartin@blm.gov_BLM_EGIS
44,2dad1d71-39b0-4830-bac0-604dad4270a9,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,BRTO,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:32 PM,kmartin@blm.gov_BLM_EGIS
45,674b0b70-3e11-43d3-a843-abf5e6403019,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,ATCA2,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:34 PM,kmartin@blm.gov_BLM_EGIS
46,c79a63c0-30d8-4e37-af2e-4f3331ec55cd,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,GECA2,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:36 PM,kmartin@blm.gov_BLM_EGIS
47,bdd1c688-d0dc-45c1-9f63-e65a43476568,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,SCAR,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:37 PM,kmartin@blm.gov_BLM_EGIS
48,41ef2673-8797-4679-95a0-286a35770011,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,LATR2,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:40 PM,kmartin@blm.gov_BLM_EGIS
49,9f1a1da6-804b-4d85-a70a-6252fafd892f,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,PLOV,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:42 PM,kmartin@blm.gov_BLM_EGIS
50,31dec848-2402-4ce2-89cc-d1ef90c41bd3,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,PLSE,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:43 PM,kmartin@blm.gov_BLM_EGIS
51,fb0ec1d7-5ad5-4e1c-82cf-c91356dda910,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,CRAN4,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:45 PM,kmartin@blm.gov_BLM_EGIS
52,ebb969d4-3c90-45fb-978a-3c055a091189,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,HOMU,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:47 PM,kmartin@blm.gov_BLM_EGIS
53,88620142-1c56-4689-b056-403772ae7a50,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,SIIR,No,,,,2,45cd5bd2-a1c6-4f50-8f6a-46621d80ae01,4/11/2024 3:52:04 AM,ahoeft4,10/18/2024 3:14:49 PM,kmartin@blm.gov_BLM_EGIS
54,7f8e3f6c-ca0b-4c59-8caa-5bc3d5ac73a1,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,DISP,No,,,,2,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:18 PM,kmartin@blm.gov_BLM_EGIS
55,4f97caa7-eab4-48d1-9052-5608c3701a35,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,SHXXXX,No,01,SH_01,CA-CDD-TW-22008_2024-04-08_SH_01,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:19 PM,kmartin@blm.gov_BLM_EGIS
56,82945507-8f1b-4a0f-ab91-6697fe4f0551,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,PRPU,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:21 PM,kmartin@blm.gov_BLM_EGIS
57,6c968d9d-5de7-4f92-a1a3-dd32fdde1aa9,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,ATTO,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:23 PM,kmartin@blm.gov_BLM_EGIS
58,ba880f5a-db37-4b0d-bb73-dfb808ee7276,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,LEPE2,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:25 PM,kmartin@blm.gov_BLM_EGIS
59,9bc4ca96-c069-4a75-ab9b-664774d9220b,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,BRTO,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:27 PM,kmartin@blm.gov_BLM_EGIS
60,398d9f65-0cfc-43d3-8958-0c40c70c600e,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,ATCA2,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:28 PM,kmartin@blm.gov_BLM_EGIS
61,aaaa099f-7d7e-4355-934d-a662d4a02507,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,GECA2,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:30 PM,kmartin@blm.gov_BLM_EGIS
62,bc330b2f-d8bd-4a90-b855-1b7646ba7769,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,SCAR,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:32 PM,kmartin@blm.gov_BLM_EGIS
63,0907d169-30ac-4b0a-9258-a94df12a919c,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,LATR2,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:34 PM,kmartin@blm.gov_BLM_EGIS
64,87edb02c-d6a5-4383-9287-5fb0005ea1bc,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,PLOV,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:35 PM,kmartin@blm.gov_BLM_EGIS
65,78019dfa-802b-4247-a892-3614284a07e3,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,PLSE,No,,,,2,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:37 PM,kmartin@blm.gov_BLM_EGIS
66,d66cb127-a540-4481-92cf-ab4e8426049c,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,CRAN4,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:39 PM,kmartin@blm.gov_BLM_EGIS
67,d1d49657-903b-4fb3-a7ba-441e87e072fe,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,HOMU,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:40 PM,kmartin@blm.gov_BLM_EGIS
68,0ec3fc38-a8bc-4cda-a530-87504535f1b0,CA-CDD-TW-22008_2024-04-08,CA_02_CALIBRATION_2024-04-09_1,SIIR,No,,,,1,e7eb1cb4-4ddd-45c4-b392-b57e6862a1e1,4/11/2024 3:52:06 AM,ahoeft4,10/18/2024 3:35:42 PM,kmartin@blm.gov_BLM_EGIS
69,649f2a98-ca1a-4896-a894-787eecbd7506,CA-CDD-TW-22012_2024-04-09,,ATLE,No,,,,2,bfaf9493-f1bb-4bfc-b581-0b7082627ffa,4/11/2024 3:52:08 AM,ahoeft4,4/11/2024 3:52:08 AM,ahoeft4
70,2fe4ca48-0306-4377-8ed1-23ee54bb1bd2,CA-CDD-TW-22012_2024-04-09,,TARA,No,,,,4,bfaf9493-f1bb-4bfc-b581-0b7082627ffa,4/11/2024 3:52:08 AM,ahoeft4,4/11/2024 3:52:08 AM,ahoeft4
71,8efe325c-8dc9-42de-aba8-88c091c28d28,CA-CDD-TW-22012_2024-04-09,,PLSE,No,,,,3,bfaf9493-f1bb-4bfc-b581-0b7082627ffa,4/11/2024 3:52:08 AM,ahoeft4,4/11/2024 3:52:08 AM,ahoeft4
72,4d38f35e-35ea-4a64-a7ff-75082cf29b6c,CA-CDD-TW-22012_2024-04-09,,SCAR,No,,,,1,bfaf9493-f1bb-4bfc-b581-0b7082627ffa,4/11/2024 3:52:08 AM,ahoeft4,4/11/2024 3:52:08 AM,ahoeft4
73,eb71de87-c0da-4e62-be89-4e2a2523bf81,CA-CDD-TW-22012_2024-04-09,,TAPA4,No,,,,4,bfaf9493-f1bb-4bfc-b581-0b7082627ffa,4/11/2024 3:52:08 AM,ahoeft4,4/11/2024 3:52:08 AM,ahoeft4
74,de4a7ae4-21bf-4b70-bd52-ac9a263374e0,CA-CDD-TW-22012_2024-04-09,,DISP,No,,,,1,bfaf9493-f1bb-4bfc-b581-0b7082627ffa,4/11/2024 3:52:08 AM,ahoeft4,4/11/2024 3:52:08 AM,ahoeft4
75,86815ea1-20c9-49b1-b1e1-813c6ff93a1d,CA-CDD-TW-22012_2024-04-09,,DEPI,No,,,,1,bfaf9493-f1bb-4bfc-b581-0b7082627ffa,4/11/2024 3:52:08 AM,ahoeft4,4/11/2024 3:52:08 AM,ahoeft4
76,9780e474-988c-40f1-916c-ca23997ebf17,CA-CDD-TW-22009_2024-04-09,,SAGO,No,,,,2,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
77,2c88b1c8-3571-47b8-8322-ed1bfc4477db,CA-CDD-TW-22009_2024-04-09,,DISP,No,,,,3,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
78,9252cec9-bbb1-486a-ad34-630712dbf2f3,CA-CDD-TW-22009_2024-04-09,,BAHY,No,,,,2,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
79,e0ffcdea-82a8-4cbe-9826-aaa3b3030ced,CA-CDD-TW-22009_2024-04-09,,TARA,No,,,,1,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
80,60b704cb-23f6-44a8-a8a8-34c74289e814,CA-CDD-TW-22009_2024-04-09,,ATLE,No,,,,1,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
81,833e6313-0300-4b31-a797-6761aaaac0a8,CA-CDD-TW-22009_2024-04-09,,SCAM6,No,,,,1,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
82,fe902278-e4a4-4dbe-af4c-f54288f0b941,CA-CDD-TW-22009_2024-04-09,,SATR12,No,,,,1,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
83,0a47f88c-4c0b-4ae0-9666-c822349b71f9,CA-CDD-TW-22009_2024-04-09,,BRTO,No,,,,1,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
84,84845fe4-bb6e-4aba-a0fe-a084ee42db91,CA-CDD-TW-22009_2024-04-09,,DEPI,No,,,,1,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
85,36fe9846-da3a-419f-9370-c8783ad510b5,CA-CDD-TW-22009_2024-04-09,,LEFL2,No,,,,1,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
86,6533dc4f-4362-4ebe-a6a1-6b29dfac03c2,CA-CDD-TW-22009_2024-04-09,,HOMU,Yes,,,,1,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
87,3c4f7da7-f745-494a-8190-4d34d8fbce9f,CA-CDD-TW-22009_2024-04-09,,LELA,Yes,,,,1,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
88,978f5d26-5883-400c-ae31-de22ab07624c,CA-CDD-TW-22009_2024-04-09,,PLSE,No,,,,3,e660b7f4-2fd5-400a-8514-bd6829727e81,4/11/2024 2:24:35 PM,ahoeft4,5/9/2024 4:53:51 PM,tgaffney4
